,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,0.6405210971832276,0.00660992793612114,0.02779417037963867,0.002143967575289516,5,8,200,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 200}",0.5721561969439728,0.601018675721562,0.5908319185059423,0.5585738539898133,0.5466893039049237,0.5738539898132429,0.020002277045871826,39
72,0.02903742790222168,0.0026868219313716944,0.004336929321289063,0.002535026352749193,10,1,10,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 10}",0.5585738539898133,0.568760611205433,0.5942275042444821,0.5483870967741935,0.565365025466893,0.567062818336163,0.015261259799147173,54
73,0.24785184860229492,0.005200306076181339,0.018390083312988283,0.0038232229940473057,10,1,100,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100}",0.5857385398981324,0.597623089983022,0.5891341256366723,0.5568760611205433,0.567062818336163,0.5792869269949066,0.015009871718370331,11
74,0.5020648002624511,0.006175831660561009,0.035279035568237305,0.0039493267038567,10,1,200,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200}",0.5806451612903226,0.6078098471986417,0.597623089983022,0.5568760611205433,0.565365025466893,0.5816638370118845,0.019075819226061965,7
75,0.03184709548950195,0.0038774033342783404,0.005453300476074219,0.001976496787341491,10,2,10,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 10}",0.5585738539898133,0.5908319185059423,0.5942275042444821,0.5517826825127334,0.5382003395585738,0.5667232597623091,0.022094802696091594,55
76,0.29171338081359866,0.003004820797474273,0.0178525447845459,0.001210247511622522,10,2,100,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 100}",0.5806451612903226,0.597623089983022,0.5959252971137521,0.5449915110356537,0.5585738539898133,0.5755517826825127,0.020738107279595856,32
77,0.5731069564819335,0.003348093118011387,0.03256268501281738,0.002355841105277645,10,2,200,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 200}",0.5772495755517827,0.6027164685908319,0.597623089983022,0.5551782682512734,0.5517826825127334,0.5769100169779288,0.02097031939781937,24
78,0.03606019020080566,0.001966620380089801,0.0018322467803955078,0.002270826694985194,10,3,10,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 10}",0.565365025466893,0.5959252971137521,0.5806451612903226,0.5449915110356537,0.5551782682512734,0.5684210526315789,0.018108375722884033,51
79,0.32962923049926757,0.0027225045270878124,0.01821427345275879,0.002922681099791973,10,3,100,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 100}",0.5738539898132428,0.5908319185059423,0.5959252971137521,0.5619694397283531,0.5568760611205433,0.5758913412563668,0.015389160195075932,29
80,0.645635461807251,0.009425615122815017,0.032874011993408205,0.0021498881642702957,10,3,200,"{'max_depth': 10, 'max_features': 3, 'n_estimators': 200}",0.5721561969439728,0.5942275042444821,0.597623089983022,0.5602716468590832,0.5500848896434635,0.5748726655348046,0.01858598598764551,37
81,0.03734121322631836,0.0022815482469049748,0.0058075904846191405,0.003508823436140949,10,4,10,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 10}",0.565365025466893,0.5568760611205433,0.5891341256366723,0.5517826825127334,0.5500848896434635,0.5626485568760612,0.014269542539525096,65
82,0.365388298034668,0.007642440193288797,0.017234992980957032,0.003113036156427424,10,4,100,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 100}",0.5585738539898133,0.5874363327674024,0.5891341256366723,0.5602716468590832,0.5636672325976231,0.5718166383701189,0.013556852141037098,44
83,0.7298880577087402,0.02469549110401445,0.03721332550048828,0.006404592426859921,10,4,200,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 200}",0.5721561969439728,0.5942275042444821,0.5942275042444821,0.5721561969439728,0.5466893039049237,0.5758913412563668,0.017624365734955454,29
84,0.042849254608154294,0.0030863076423331723,0.004845285415649414,0.0029409226689369114,10,5,10,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 10}",0.5636672325976231,0.5382003395585738,0.5840407470288624,0.5297113752122241,0.5500848896434635,0.5531409168081494,0.019220335073799524,76
85,0.40395374298095704,0.0049092462064072254,0.017632722854614258,0.001411040538489553,10,5,100,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 100}",0.568760611205433,0.5738539898132428,0.5908319185059423,0.5568760611205433,0.5415959252971138,0.566383701188455,0.016516653999341678,56
